Date,cash
2022-12-06,982365.9188390457
2022-12-07,982193.9954743785
2022-12-08,982289.6469182391
2022-12-09,981846.2415535133
2022-12-12,981724.2959767022
2022-12-13,981508.8334534323
2022-12-14,981816.2491080181
2022-12-15,981720.9795603524
2022-12-16,981887.6528173222
2022-12-19,981721.2163693608
2022-12-20,981525.1189526219
2022-12-21,981972.593887808
2022-12-22,981729.775780021
2022-12-23,981729.775780021
2022-12-27,981808.1044044595
2022-12-28,981975.5413505537
2022-12-29,981975.5413505537
2022-12-30,981975.5413505537
2023-01-03,981893.47279578
2023-01-04,981619.3180127434
2023-01-05,981619.3180127434
2023-01-06,981619.3180127434
2023-01-09,981527.6964400621
2023-01-10,981444.1673774722
2023-01-11,981444.1673774722
2023-01-12,981444.1673774722
2023-01-13,981061.8789590179
2023-01-17,981155.0302923592
2023-01-18,981250.580201725
2023-01-19,980877.7506713133
2023-01-20,981077.578785407
2023-01-23,981164.1178890072
2023-01-24,980983.7116762007
2023-01-25,980983.7116762007
2023-01-26,981629.9809593543
2023-01-27,981245.2773761896
2023-01-30,981245.2773761896
2023-01-31,981159.8679888021
2023-02-01,981159.8679888021
2023-02-02,981020.0795717004
2023-02-03,980781.6784274222
2023-02-06,980781.6784274222
2023-02-07,981111.6112582259
2023-02-08,981018.5303221183
2023-02-09,981060.0549514221
2023-02-10,981233.2936173681
2023-02-13,980485.3334693002
2023-02-14,980485.3334693002
2023-02-15,980088.1948177214
2023-02-16,980294.0370897024
2023-02-17,980465.1772193392
2023-02-21,980303.7528063627
2023-02-22,980303.7528063627
2023-02-23,980303.7528063627
2023-02-24,980303.7528063627
2023-02-27,980383.3640698356
2023-02-28,980383.3640698356
2023-03-01,980471.9625006766
2023-03-02,980471.9625006766
2023-03-03,979868.0954031647
2023-03-06,979788.2619246014
2023-03-07,980248.381284092
2023-03-08,980450.7238950866
2023-03-09,980247.4541987415
2023-03-10,979970.449800169
2023-03-13,979577.3071904331
2023-03-14,980152.0957223264
2023-03-15,980039.0869499089
2023-03-16,980061.1608955179
2023-03-17,979842.2980978267
2023-03-20,979556.6231447469
2023-03-21,979736.8668989044
2023-03-22,979341.8188212407
2023-03-23,979810.1112866666
2023-03-24,979522.0764284106
2023-03-27,979050.2900558263
2023-03-28,979233.6016686099
2023-03-29,979696.4775833281
2023-03-30,979527.3334762905
2023-03-31,979527.3334762905
2023-04-03,979711.7443100354
2023-04-04,979223.265228355
2023-04-05,979223.265228355
2023-04-06,979390.9289262732
2023-04-10,978778.4299886185
2023-04-11,979088.5382008003
2023-04-12,979275.5971889589
